,RK,Team,,League,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,Miami Marlins,mia,NL,165,689,98,219,25,9,4,49,29,103,65,22,.318,.344,.398,.742,2,2,6,6,274,38,8,264,123,2.15,2549,732
1,2,Arizona Diamondbacks,ari,NL,169,705,105,210,40,7,12,65,43,80,30,18,.298,.338,.426,.764,0,4,3,8,300,59,11,253,184,1.38,2595,763
2,3,Philadelphia Phillies,phi,NL,171,703,91,205,36,7,3,54,36,111,27,8,.292,.327,.376,.703,1,2,3,2,264,46,6,245,153,1.60,2729,746
3,4,San Francisco Giants,sf,NL,205,679,95,197,34,3,10,55,58,95,26,10,.290,.352,.393,.745,0,8,1,2,267,47,12,233,169,1.38,2839,748
4,5,Colorado Rockies,col,NL,171,671,101,194,33,9,19,65,52,123,45,14,.289,.350,.450,.800,2,13,5,4,302,61,5,178,190,0.94,2975,745
5,6,Milwaukee Brewers,mil,NL,183,691,97,194,34,8,12,61,28,114,24,11,.281,.314,.405,.719,2,7,4,4,280,54,9,241,159,1.52,2589,734
6,7,Washington Nationals,was,NL,175,683,90,187,40,2,19,64,60,140,17,2,.274,.333,.422,.755,0,3,1,4,288,61,10,189,182,1.04,2807,751
7,8,St. Louis Cardinals,stl,NL,187,669,108,179,49,4,29,82,59,154,8,8,.268,.337,.483,.820,3,13,0,3,323,82,5,152,192,0.79,2907,744
8,9,Pittsburgh Pirates,pit,NL,175,699,96,186,44,6,8,53,56,130,25,12,.266,.325,.381,.706,5,7,1,3,266,58,3,178,212,0.84,2850,766
9,10,Chicago Cubs,chc,NL,183,661,109,170,36,8,17,48,84,169,22,9,.257,.344,.413,.757,1,6,1,4,273,61,5,177,155,1.14,3084,756
10,11,New York Mets,nym,NL,176,656,102,168,35,3,28,76,86,167,9,7,.256,.347,.447,.793,2,7,0,4,293,66,4,130,199,0.65,3239,753
11,12,Atlanta Braves,atl,NL,170,666,80,168,40,5,8,63,70,140,12,11,.252,.327,.363,.690,9,4,5,1,242,53,7,219,152,1.44,2941,746
12,13,San Diego Padres,sd,NL,180,673,104,166,34,6,21,75,50,144,13,6,.247,.303,.409,.711,0,6,4,4,275,61,6,212,165,1.28,2786,737
13,14,Cincinnati Reds,cin,NL,181,701,96,169,23,6,10,44,46,108,40,6,.241,.290,.334,.624,0,3,4,1,234,39,7,231,205,1.13,2817,755
14,15,Los Angeles Dodgers,la,NL,190,660,93,154,35,7,26,65,74,172,11,9,.233,.319,.426,.745,2,10,0,1,281,68,5,163,177,0.92,2916,745
